"comment_id", "content", "userlike", "article_id", "label"
"25080209", "Nếu chỉ 2 tội đó thì nhẹ quá. Cố tình ép xe tông trực diện thì phải đưa vô khung cố ý giết người chứ nhỉ?", "498", "3719582", "0"
"25079242", "Đâm thẳng xe ôtô vào xe môtô của cảnh sát, rất may không có người thiệt mạng, theo tôi vẫn cần truy tố tội cố ý giết người, chứ không phải chỉ tội chống người thi hành công vụ.", "344", "3719582", "0"
"25080231", "bọn này quá manh động sẵn sàng gây án. các chiến sỹ CA thật dũng cảm, cần được tuyên dương", "153", "3719582", "0"
"25079552", "Buôn lậu thuốc lá chuyện cũng thường, vì chừng nào còn lợi nhuận cao người dân còn phạm pháp. TUY NHIÊN, hành vi tăng ga lạng lách thoát chạy 20km và tông trực diện xe mô tô cảnh sát như thế là hành vi quá xem thường pháp luật.", "143", "3719582", "0"
"25079778", "Chúc các anh mau chóng bình phục.", "112", "3719582", "0"
"25078841", "Chuyến này chắc gởi mấy anh chị loại lịch mới, một cuốn = 1 thế kỷ đỡ phải thay lịch hàng năm.", "96", "3719582", "0"
"25079416", "cần phải xử nghiêm, tránh tình trạng không ai dám ra đấu tranh với loại tội phạm này.", "95", "3719582", "0"
"25078668", "Cám ơn các chiến sĩ. Chúc các anh mau bình phục. Bọn này phạt nặng vào cho chừa!", "89", "3719582", "0"
"25080146", "Tại sao không nổ súng bắn lốp nhỉ. Bọn này quá manh động", "68", "3719582", "0"
"25078769", "Quá manh động và nguy hiểm. Cần xử lý nghiêm để làm gương.", "50", "3719582", "0"
"25078565", "Nếu là ở Mỹ 3 tên này xác định đây là lần lái xe cuối cùng trong cuộc đời. Hy vọng các anh Công An sẽ nhanh chóng phục hồi không ảnh hưởng đến tính mạng.", "31", "3719582", "0"
"25078966", "Tàng trữ vận chuyển hàng cấm, chống người thi hành công vụ, và phương thức gây án vô cùng manh động và rất nguy hiểm cho xã hội. Cần phải xử lý thật nặng !", "25", "3719582", "0"
"25079220", "Mấy tên này coi phim mỹ riết rồi nhiễm. Tưởng dễ ăn. Cầu mong cho các chiến sĩ CSGT mau chóng bình phục .!", "24", "3719582", "0"
"25079340", "Tước bằng lái vĩnh viễn và cho ở tù để răn đe cho kẻ khác.", "21", "3719582", "0"
"25079966", "Cần điều tra làm rõ đường dây buôn lậu này để trừng trị đích đáng.", "17", "3719582", "0"
"25079970", "Quá lưu manh và coi thường tính mạng người khác", "16", "3719582", "0"
"25081121", "Cảm ơn các chiến sỹ công an vì nhiệm vụ quên thân, Đề nghị khen thưởng, động viên kịp thời các chiến sỹ công an và xử lí nghiêm khắc, thích đáng những kẻ coi thường pháp luật, coi thường tính mạng con người.", "14", "3719582", "0"
"25078973", "Tội + tội. Tội các a công an, mong các anh sớm bình phục", "14", "3719582", "0"
"25079898", "nhiều xuân tới con sẽ vắng nhà mẹ à", "11", "3719582", "0"
"25079046", "Chúc các anh mau bình phục!", "11", "3719582", "0"
"25078696", "Cho bóc lịch khoảng 20 năm cho ngấm", "10", "3719582", "0"
"25079116", "Những tên cầm lái xe này nên được cấp GPLX không thời hạn trong trại giam.", "8", "3719582", "0"
"25078466", "Theo mình thì nhẹ nhất thì chung thân... Chứ để ngoài xã hội hội thì nhiều người còn khổ nữa.", "8", "3719582", "0"
